#{"t_start": 1761513942.155471, "env_id": "PulleyEnv-v0"}
r,l,t
-143933.352358,1,1.149147
-84415.154063,17,1.242826
-143890.521354,1,1.246965
-126292.629342,1,1.246965
-86849.297739,42,1.47149
-16841.599352,94,1.994778
-139870.461856,1,1.994778
-117549.504026,1,2.005249
-171572.286205,2,2.01809
-91150.212911,20,2.132553
-81123.216023,35,2.319988
-81507.673667,44,2.56302
-134983.093307,1,2.570748
-92087.95674,62,2.910218
-86777.417433,29,3.064733
-85791.480608,17,3.151718
-124811.195421,18,3.256769
-135110.918961,1,3.261718
-81660.734557,36,3.458127
-83208.117859,43,3.686802
-93567.686757,48,3.958342
-97842.716895,63,4.315965
-138929.909463,27,4.458715
-117617.268298,1,4.458715
-83690.930998,52,4.754917
-103701.11258,25,4.895753
-116065.015226,29,5.055222
-126269.60954,1,5.061721
-91475.477788,31,5.239485
-89128.804083,19,5.336608
-89700.269956,26,5.4772
-132679.148145,1,5.4772
-135106.815143,1,5.4772
-99581.504379,21,5.602676
-117520.552591,1,5.602676
-158028.745845,1,5.602676
-126369.131412,1,5.618579
-74934.60564,67,5.976691
-113826.514654,13,6.054222
-86757.40788,36,6.261935
-135199.050019,1,6.26837
-68549.873715,42,6.497027
-60118.553625,63,7.439422
-94505.930271,19,7.791665
-98947.706452,32,8.385031
-80238.587741,46,9.220587
-117564.293611,1,9.242365
-65198.591431,31,9.840616
-93116.993756,18,10.170404
-135125.836452,1,10.190436
-164436.685968,2,10.22077
-122141.062838,32,10.826831
-94605.10601,17,11.127251
-99624.265352,20,11.488662
-156924.276855,2,11.521356
-126289.277748,1,11.542378
-88010.549483,28,12.087184
-143918.080946,1,12.107349
-117545.813351,1,12.125506
-126270.12874,1,12.145533
-82116.340057,48,13.070901
-71316.367689,61,14.198333
-68501.882282,53,15.197718
-117584.025152,1,15.216211
-142802.722193,1,15.234061
-117654.121798,1,15.246346
-126378.131474,1,15.269817
-120746.353978,69,16.603526
-117551.0623,1,16.623602
-143913.545433,1,16.643713
-108102.621656,21,17.047565
-83935.988977,24,17.507042
-117550.354434,1,17.537587
-88813.839589,19,17.898669
-137366.035378,1,17.919867
-90205.944155,30,18.500955
-117669.198976,1,18.520544
-83808.356248,40,19.276304
-161743.06903,2,19.321899
-143858.961818,1,19.341807
-156156.636098,2,19.381816
-92872.136587,15,19.668026
-135093.821399,1,19.685797
-105600.034395,19,20.05381
-163310.941847,2,20.094848
-115238.916034,38,20.824164
-98765.859305,19,21.192569
-114899.35819,20,21.563118
-126393.259745,1,21.590508
-74048.662267,34,22.264213
-77721.959504,31,22.820227
-62997.781441,80,24.409495
-96452.329842,29,24.964489
-135164.451067,1,24.983487
-92457.532044,22,25.400827
-117572.199586,1,25.420967
-46665.486695,62,26.631631
-93938.191446,18,26.961491
-90484.604679,32,27.580247
-100009.680313,25,28.026295
-157068.178846,2,28.063946
-87489.048085,50,28.963889
-167046.779298,2,29.004916
-135196.289264,1,29.022016
-119475.757539,27,29.50006
-143821.288769,1,29.519658
-91698.775443,26,29.972025
-150722.945367,1,29.99048
-135113.319038,1,30.007916
-126371.825772,1,30.028273
-35402.578312,86,31.591402
-135093.445653,1,31.616227
-97449.533593,13,31.87095
-119501.711424,12,32.111086
-105552.458014,18,32.456865
-59604.256415,26,32.944212
-117542.26919,1,32.954252
-135099.079569,1,32.985171
-67634.788785,89,34.626581
-143902.645552,1,34.646787
-69005.182566,60,35.681973
-117556.560375,1,35.700941
-95681.745264,32,36.25295
-90130.684426,40,37.021335
-95366.629836,28,37.557496
-143605.304409,40,38.311234
-127320.687047,46,39.168843
-92301.391719,17,39.499277
-83187.193398,19,39.852554
-74377.507414,47,40.75425
-137219.115096,1,40.77027
-126378.718571,1,40.783455
-6175.984228,163,43.705284
-80644.868741,41,44.427856
9864.192987,233,49.055853
-126279.629976,1,49.072293
-117452.923831,1,49.082745
-89116.16395,16,49.349097
-77632.710345,41,50.132404
-161449.248218,1,50.152822
-70734.256953,80,51.621743
1848.778431,214,55.549418
-143930.372727,1,55.569977
-106868.22436,45,56.426541
3036.532768,178,59.699198
