#{"t_start": 1768367644.566873, "env_id": "PulleyEnv2D-v0"}
r,l,t
-211183.767434,250,4.89927
-827886.476405,250,8.360875
-738921.99975,250,11.991978
-448068.014215,250,15.546006
-272741.135108,250,24.504121
-589606.259315,250,33.317193
-524289.594467,250,42.09825
-301145.635977,250,49.784134
-33927.172119,250,57.412448
-205385.425593,250,65.167879
-492984.459549,250,72.840969
-6001.921078,250,80.472223
-2172910.016255,250,88.046281
-20911.706431,250,95.616029
-281257.469352,250,103.345772
-271636.931372,250,110.998362
-222336.872212,250,118.418756
-1957765.974804,250,126.026112
-531392.160375,250,133.791088
-2332472.965113,250,141.305854
-375379.461358,250,148.786171
-153708.691993,46,150.157233
-1039842.736157,250,157.80628
-1925427.999345,250,165.224606
-239997.714654,32,166.20555
-506871.44118,250,173.648224
-108882.434407,45,174.972101
-43855.718533,250,182.428341
-2520072.342036,250,189.830992
-293100.658766,250,197.312153
-141377.931034,250,204.73404
-2070850.583811,250,212.270321
-4830.209916,208,218.511053
-1042001.714274,108,221.636946
-1104052.535481,250,228.872697
-1685868.375934,250,236.144514
-402632.141443,250,243.494423
-1041303.21643,250,250.722458
-354132.702554,58,252.366993
-579856.473763,250,259.50025
-308290.257243,250,266.830955
-1971602.966592,250,274.118015
-2405265.610815,250,281.360845
-124943.549738,250,288.605944
-379239.351915,250,295.792135
-72990.743196,32,296.704768
-109173.437181,250,304.118146
-1105442.471091,250,311.539306
-786669.802432,250,318.929221
-56206.261299,250,327.435032
-811025.357879,250,335.599102
-202933.98164,45,337.034431
-30185.233613,75,339.527202
-774515.724694,250,347.249186
-230334.579163,44,348.633356
-111162.56936,69,350.85241
-358528.877602,250,358.945525
-542527.687633,184,365.42234
-511409.117098,250,373.384325
-1848378.015048,250,381.768221
-1624891.698648,250,389.839158
-85104.545075,40,390.905122
-636701.941055,250,398.188219
-198438.067666,250,405.620969
-95644.917149,250,412.835151
-295043.280114,250,420.192253
-262139.449926,37,421.292408
-956450.223013,250,429.896318
-395408.811373,250,437.95981
-84119.918009,63,439.952131
-514611.526441,250,447.899585
-125335.17181,250,456.055823
-1383607.782294,250,463.251241
-378145.634145,250,471.517977
-1001031.541267,250,480.696058
-681538.338667,250,489.78832
-350421.080758,250,497.818354
-1738740.833388,250,506.302757
-1207023.471049,250,514.303117
-1506140.202579,250,522.541023
-808730.730461,250,530.742747
-1241945.425205,250,538.812193
-2155403.81379,250,546.769741
-886246.935044,128,551.046912
-135205.444012,39,552.340286
-1216589.368168,250,560.665624
-612181.628247,250,569.290851
-999608.166395,250,578.095735
-1041562.003035,250,586.978399
-787767.855219,250,597.066809
-129582.676845,250,606.462711
-491277.940099,101,610.105793
-2090095.827019,250,618.631112
-24823.502826,250,626.740574
-1842950.354524,250,634.465736
-105805.408468,164,639.631984
-131110.717452,27,640.417265
-662007.519922,250,649.186781
-806923.414509,250,658.625489
-270614.734326,250,667.415049
-626342.393149,250,675.497546
-203848.594125,250,683.72707
-82228.776453,27,684.518675
-327647.420542,126,688.612223
-226911.809141,250,696.872764
-581194.527946,62,699.205385
-17968.550214,250,707.499416
-1542308.40261,250,715.665332
-1292216.734971,250,724.179381
-75747.95927,79,726.893787
-429520.365442,250,736.273092
-999021.927456,250,746.19723
-44032.926415,72,749.054087
-1200628.298089,250,759.253562
-235276.203149,250,769.081206
-924806.496238,250,776.229107
-95308.265079,86,779.732382
-331024.609057,250,789.17369
-50200.05565,250,798.913821
-78770.682891,250,808.510306
-1241489.778917,250,818.058256
-255763.893848,67,820.706566
-256100.331186,29,821.847792
-261542.836807,250,832.352208
-119333.853569,250,843.265916
-405231.790755,250,853.423088
-160947.574016,250,863.137791
-681399.948177,250,872.672602
-664877.424069,250,882.19672
-30665.519041,250,891.548008
-794886.359071,250,901.303949
-1396567.663129,250,910.941333
-363280.618851,56,913.115135
-700554.939081,250,922.797646
-649065.203498,208,930.796719
-591735.826404,250,940.548372
-430675.718753,250,950.13397
-644643.077159,250,959.752824
-2078135.155948,250,969.095142
-1542396.094089,250,978.735555
-118883.738421,250,988.089597
-864523.587412,250,997.565166
-1818283.625378,208,1005.463028
-627694.370801,250,1014.876383
-236784.681045,250,1024.398778
-227035.981774,250,1033.995795
-210923.250737,53,1036.104887
-741515.953549,72,1038.817255
-409700.860958,40,1040.395908
