#{"t_start": 1762506508.7683935, "env_id": "PulleyEnv-v0"}
r,l,t
-110601.82837,31,1.370564
-112340.35373,37,1.581959
-91187.232698,27,1.73439
-90398.925738,43,1.973232
-103319.302195,17,2.066396
-100902.294091,30,2.218446
-99103.149627,14,2.295134
-109863.070213,23,2.418374
-96510.398339,24,2.547111
-88930.306177,60,2.874846
-79271.543869,28,3.026079
-101933.055754,38,3.227638
-100579.030365,35,3.413252
-86175.913687,30,3.57169
-95391.307178,23,3.691324
-82532.35396,27,3.836696
-95626.471647,60,4.160745
-87488.846078,99,4.691997
-98290.151395,19,4.792303
-115187.955923,26,4.936869
-84782.105523,54,5.230978
-96941.112014,34,5.423309
-103963.981044,15,5.500237
-105503.863824,31,5.700261
-108575.554091,28,5.850738
-95233.721026,65,6.202947
-109548.351699,47,6.448578
-88290.724462,47,7.112527
-116470.474059,27,7.564422
-99021.857572,17,7.830481
-100849.461571,35,8.487438
-94132.343596,24,8.891219
-120260.603864,15,9.178081
-116355.01316,12,9.389491
-95215.358654,21,9.750794
-96166.827482,41,10.435636
-102064.240742,18,10.741886
-84037.404036,30,11.265698
-93732.619539,13,11.480682
-113595.647707,26,11.922356
-126798.609952,29,12.411847
-109007.117486,17,12.704017
-109273.89937,26,13.167227
133744.408294,250,17.513789
78336.171467,250,21.677027
52500.594397,250,25.954317
90044.836235,250,30.367737
132492.902327,250,34.894118
77329.53884,250,39.30294
63139.684532,250,43.447845
72414.412941,250,47.823839
126902.595681,250,52.308844
168498.755191,250,56.873315
120155.242538,250,61.674716
128002.056229,250,66.378072
239293.759234,250,70.800154
91795.422928,250,75.307622
84028.291428,250,80.019471
137433.40237,250,84.663952
221130.75135,250,89.371948
265576.914407,250,94.164495
131274.328586,250,98.77062
99355.704911,250,103.460455
413219.397011,250,107.798548
159658.088615,250,112.468625
384693.618189,250,117.166573
234637.552782,250,121.526975
209844.300084,250,125.960939
155675.491258,250,130.642423
413976.453217,250,135.024148
437553.984113,250,139.300909
93521.523484,250,143.913977
430526.143234,250,148.691496
87044.792339,250,153.449895
330078.974929,250,158.36689
315735.46595,250,163.159256
527033.504625,250,167.991847
600510.299514,250,172.869196
738933.290716,250,177.693312
651026.433741,250,182.259778
415548.659904,250,186.817646
610826.715993,250,191.453119
307293.403096,250,196.010247
636287.925064,250,200.509632
915047.004561,250,205.103524
1299491.503837,250,209.64415
826214.252712,250,214.199464
1750529.831213,250,218.734853
1600233.919916,250,223.262459
567891.990395,250,227.757564
1777598.358861,250,232.364141
1121076.37528,250,236.911874
2108223.10078,250,241.446614
1229095.884909,250,245.978853
1593911.208265,250,250.563839
2257866.624329,250,255.041471
1808007.992393,250,259.553896
1666775.054286,250,264.125674
1792514.723042,250,268.644784
1736022.81886,250,273.149396
2126601.99349,250,277.762502
1635127.030044,250,282.290894
1237180.998276,250,286.860018
1437545.795861,250,291.47345
2353197.755308,250,296.037811
1831044.851721,250,300.85567
1637148.258597,250,305.679176
2037356.806602,250,310.581059
1700636.290841,250,315.482621
2530209.254324,250,320.269073
2033703.363237,250,325.080557
3160113.61699,250,329.874118
2419376.124476,250,334.654631
2521373.007018,250,339.634459
1928247.192047,250,344.49911
2414898.180607,250,349.295544
2374067.578606,250,354.127622
2911311.367024,250,358.896318
2452015.394093,250,363.771131
3616151.984793,250,368.597783
2200012.400372,250,373.434868
2120056.279432,250,378.156839
-105663.781938,9,378.324551
2258885.188926,250,383.080649
1432879.52765,250,387.908747
1084851.985481,250,392.263937
2129087.007086,250,396.57804
2516614.525893,250,401.082091
2017388.697893,250,405.860818
7524419.187208,162,408.918165
2351737.98517,250,413.685852
2543887.619371,250,418.317267
2510311.645441,250,422.87778
2524408.923416,250,427.545998
2641324.101106,250,432.311302
2491753.311172,250,436.92175
2339121.502879,250,441.538542
2250210.341124,250,446.171336
2640120.000692,250,450.696525
2428204.080897,250,455.385446
2346744.759249,250,460.009014
2452443.10704,250,464.635326
2414813.059069,250,469.095541
2243853.520646,250,473.7307
2587231.189191,250,478.391624
2398107.72864,250,482.838799
2450359.736778,250,487.363982
928830.12591,250,492.018036
2511558.151577,250,496.630195
2332347.337987,250,501.190874
2648029.250555,250,505.829835
2504696.219788,250,510.346639
2533009.644117,250,514.971473
2409273.568396,250,519.57783
2498526.14196,250,524.100404
3129725.333185,250,528.790688
1917328.041767,250,533.420952
3649106.533965,250,538.220941
2522959.13479,250,543.038982
2479485.036274,250,547.968938
2490420.750209,250,552.871112
2908222.517004,250,557.697832
2457252.378036,250,562.551452
3148575.827595,250,567.415673
2355974.573177,250,572.256061
-109734.084222,9,572.417519
2534920.6231,250,577.28364
2461761.415165,250,582.132928
2765084.206811,250,587.019411
2515815.005606,250,591.865994
2616031.754793,250,596.761814
3337878.119344,250,601.566181
2556633.825432,250,606.440737
-109837.335631,9,606.620893
2619376.226846,250,611.536501
3678500.887137,250,616.440407
2510141.910846,250,621.35319
2504063.386185,250,626.304204
3803783.525168,250,631.135413
2541240.462752,250,635.980824
2481205.775832,250,640.840699
2491688.306828,250,645.667755
2472907.338963,250,650.359781
2975158.311427,250,655.181321
3154767.73816,250,659.931341
2499634.857817,250,664.567916
2379372.395309,250,669.186615
2801243.267347,250,673.934231
2450390.863768,250,678.586557
3190911.526591,250,683.19628
2573901.969652,250,687.903576
2408329.253607,250,692.490234
1626359.509378,250,697.071308
2401537.809633,250,701.8374
2634891.007585,250,706.561559
3394282.480681,250,711.13193
3070992.996735,250,715.821427
2498303.822051,250,720.555491
3274282.341208,250,725.172299
4157621.643522,250,729.766711
3996442.164813,250,734.390648
2405684.054097,250,738.987834
2302782.479246,250,743.689709
3003783.099192,250,748.213903
2436454.695726,250,752.754252
3518002.308843,250,757.258083
7587902.805651,150,760.033218
2371422.519711,250,764.693213
2462247.151647,250,769.396948
2445860.568226,250,774.120675
2357495.159627,250,778.904541
3156874.064763,250,783.796937
3117190.076781,250,788.710711
2583847.954187,250,793.640421
3703992.235264,250,798.539991
2481789.00336,250,803.44916
2790737.894509,250,808.326777
8929661.979762,244,813.096593
2325251.727306,250,817.955228
4153967.317285,250,822.924044
2925344.148221,250,827.780299
2741995.434525,250,832.657783
2355106.574926,250,837.558614
3251252.186353,250,842.36125
2221169.8539,250,847.113803
2419896.145191,250,851.904768
2379679.356716,250,856.812526
3453762.133162,250,861.603633
3620149.330067,250,866.400983
2016260.812695,250,871.276402
3267791.465907,250,876.174186
2434356.519491,250,881.062086
4102935.608556,250,885.96962
2490536.277488,250,890.845994
2461223.763402,250,895.733239
2419443.948053,250,900.483168
3183490.63702,250,905.105061
2984818.995667,250,909.783643
3408520.287595,250,914.425916
3099493.306164,250,919.025599
2333876.590097,250,923.776083
4153815.120124,250,1035.075026
3419041.751222,250,1039.998971
2484147.614664,250,1044.935184
2348123.350995,250,1049.819766
3284225.902373,250,1054.738972
2427011.659634,250,1059.807082
3423302.743059,250,1064.742719
2475596.178325,250,1069.568434
3062888.087435,250,1074.505451
2332011.341973,250,1079.42236
2409556.920167,250,1084.313157
2257851.516103,250,1089.248218
2465925.364772,250,1094.167429
3305680.176572,250,1099.093731
3347394.413096,250,1104.092514
8309057.32355,188,1107.841358
2286967.259386,250,1112.853934
2969436.362857,250,1117.776073
2436389.792965,250,1122.744736
2284045.815565,250,1127.645368
3266628.126912,250,1132.631452
2950324.081607,250,1137.622585
2377917.58689,250,1142.360835
3502996.815026,250,1147.125579
3264895.776304,250,1151.992437
4115896.54645,250,1156.794498
3424075.73112,250,1161.609581
3483912.421558,250,1166.473148
2254331.650268,250,1171.401081
2203709.200716,250,1176.264694
3497199.097225,250,1181.08465
2411571.66047,250,1185.937765
2074142.43056,250,1190.803063
3734457.984419,250,1195.684052
2484709.575108,250,1200.591072
2106638.195659,250,1205.41187
2142125.001526,250,1210.122353
2271168.125162,250,1215.013146
2229189.05115,250,1219.820396
4374027.937834,250,1224.68775
3920714.01061,250,1229.541862
3949479.1508,250,1234.374381
2022701.265948,250,1239.138206
3009848.658316,250,1244.025241
2266040.502517,250,1248.840806
2138797.081548,250,1253.556874
3031321.196172,250,1258.45961
2895083.817833,250,1263.328795
4270127.109788,250,1268.257872
3972711.351289,250,1273.249694
3504139.22347,250,1278.197977
2197396.233793,250,1283.147351
2324319.194319,250,1288.104395
3888791.443999,250,1293.015679
3787502.037721,250,1297.962656
2837650.508004,250,1302.972797
2216813.988013,250,1307.936287
2843072.464053,250,1312.860048
2287935.391802,250,1317.857622
3129415.423986,250,1322.808189
2762156.559501,250,1327.740354
2383785.972959,250,1332.657574
2162610.547633,250,1337.563566
2997271.528398,250,1342.428202
2500408.161924,250,1347.412919
2044119.668299,250,1352.469798
4089636.43622,250,1357.363448
2317060.507559,250,1362.425849
3529522.344014,250,1367.365731
4061129.261902,250,1372.280827
2050092.226065,250,1377.168844
3835584.923236,250,1382.058622
2787668.579589,250,1386.888118
2319958.963827,250,1391.656038
3635991.59091,250,1396.479368
3709425.050889,250,1401.293914
2151862.20705,250,1406.070289
1924337.686873,250,1410.918726
2362083.646905,250,1415.82866
3496770.415823,250,1420.579942
4048261.737248,250,1425.403097
3911765.642356,250,1430.159824
2864190.581451,250,1434.932475
2139596.172454,250,1439.811307
3969022.555445,250,1444.628944
3030016.567588,250,1449.400441
6124068.747048,60,1450.526083
3604637.255979,250,1455.29604
3491493.098097,250,1460.13773
2144456.408973,250,1464.933454
2290757.606977,250,1469.848939
3756424.576035,250,1474.702429
3721796.557465,250,1479.511061
7231248.026603,126,1481.950907
6350804.024141,74,1483.387918
3117887.869793,250,1488.164104
3436629.589411,250,1492.969483
3384800.557321,250,1497.876272
3561404.27357,250,1502.822421
3246837.566307,250,1507.784918
2124011.278495,250,1512.754592
2936524.420486,250,1517.730024
2241779.054505,250,1522.693043
3162331.753862,250,1527.695863
3287570.636522,250,1532.735486
3073835.633078,250,1537.700855
2253108.24142,250,1542.639045
2673992.286451,250,1547.581889
6549004.340229,100,1549.550196
3849987.102401,250,1554.51908
4177190.962374,250,1559.453805
2125316.091043,250,1564.428131
3346669.548665,250,1569.321199
3508352.057994,250,1574.260365
3939041.967544,250,1579.262103
3409565.426153,250,1584.218838
3386659.514907,250,1589.21017
2118713.406627,250,1594.276465
3334484.132795,250,1599.151784
5541044.223632,39,1599.92574
2200598.952203,250,1604.844116
1896811.22994,250,1609.852324
2386250.592122,250,1614.803755
3580141.338018,250,1619.643011
3732281.600567,250,1624.523015
3170745.274055,250,1629.298095
3273117.221549,250,1634.145985
2308318.385596,250,1639.029575
4198843.724188,250,1643.897194
3465991.654565,250,1648.805179
3603024.167166,250,1653.561989
2103067.023622,250,1658.343494
3601961.815894,250,1663.167454
5632199.55388,42,1664.022891
2074936.624011,250,1668.895231
2963643.796964,250,1673.698865
2986556.525644,250,1678.444049
2239601.652855,250,1683.30771
