#{"t_start": 1763452123.0905418, "env_id": "PulleyEnv-v0"}
r,l,t
-351380.179843,213,2.30857
-155643.852984,250,3.581469
-8898.559352,42,3.795977
-26866.186537,96,4.295039
-352608.299071,96,4.785814
-49390.738638,112,5.355077
-506599.287315,250,7.535814
-3139.291451,31,8.070065
-445918.688306,191,11.667047
-88056.599041,250,16.32352
-206754.795683,236,21.737156
-109471.165437,208,26.649937
-135007.445143,164,30.548077
-3000.128913,28,31.169208
-122864.17698,97,33.524151
-349424.168796,82,35.448287
-262611.857299,250,41.418745
-568797.688648,96,43.787937
-410709.851625,250,49.74968
-431376.408704,243,55.67792
-225640.148889,250,61.565133
-142884.78649,250,67.533317
-105432.979349,250,73.397164
-61335.639344,250,79.408478
-125348.819151,250,85.436858
-92425.167896,250,91.692876
-207409.419765,250,97.853294
-26620.549277,250,104.031308
-12244.460822,250,109.983582
-13746.409834,250,116.169323
-19909.399606,250,122.320674
-46419.398613,250,128.472018
-103120.443751,250,134.576312
-5569.337864,250,140.779886
-60071.426586,250,146.84561
-13025.60018,250,152.875784
-13796.607639,250,158.94444
-93440.40633,250,164.943707
-5993.893913,250,170.966648
-6033.311514,250,176.929835
-1475.774663,250,182.925106
-8597.380263,250,189.122633
-38717.563212,250,195.267383
-4114.49966,250,201.361006
-7609.989317,250,207.751949
-13177.672863,250,213.673328
-1655.274514,250,219.548892
-2859.284896,250,225.455777
-4744.673973,250,231.350391
-809.441085,250,237.177621
-2630.816028,250,243.03717
-5012.391691,250,249.008379
-70633.231636,250,254.968805
-760.57571,250,261.673334
-1948.286302,250,266.862012
-1512.709634,250,271.607335
-18252.0015,250,276.416297
-6213.709181,231,280.668666
-11874.68649,250,285.238539
-3137.723077,250,289.582805
-3436.951529,250,293.831368
-19952.239722,250,298.338231
-3312.723774,250,302.917403
-21935.150067,250,307.542999
-3701.448155,250,311.900941
-9821.575543,250,316.194728
-4445.460883,250,320.594218
-5142.78724,250,325.025251
-87234.723043,250,329.48614
514.246356,47,330.328193
-69567.494465,250,334.944373
-14453.223827,250,339.602869
-1913.974006,250,344.59089
1178.950559,40,345.339696
-8064.49178,250,349.975147
-123024.587018,250,354.540999
-5006.898201,250,358.909693
-2243.552113,250,363.882108
-9573.293269,250,368.774508
-5058.967258,250,373.548003
-48430.984096,250,378.516401
-20049.084371,250,383.037753
-9047.778673,250,387.406817
-22611.914606,250,391.854548
-30845.746497,250,396.287972
-51054.582474,250,400.7026
-8933.47136,250,405.058946
-15406.372413,250,409.632154
-5929.360745,250,414.194893
-1700.595149,250,418.496558
-3676.386436,250,422.994551
-44163.497792,250,427.537213
-45205.471169,250,432.118833
-2389.618099,250,436.499339
-14291.369736,250,441.169865
-4850.584154,250,445.926608
-9687.974651,250,450.706094
-6387.888152,250,455.483475
-61823.262248,250,460.280103
-712.174981,250,465.040483
-42703.702548,239,469.580454
-895.622208,250,474.376422
-1890.368482,250,479.08863
-65808.45574,250,483.923853
-6941.01191,250,488.752436
-3850.350578,250,493.517054
-45820.437983,250,498.346061
-2650.281052,250,502.98126
-88712.349785,250,507.57894
-88742.098776,250,512.174551
-13961.912489,208,516.118964
-1717.390648,250,520.967942
-11902.456997,250,525.699363
-17375.446189,250,530.499909
-74207.004621,250,535.347004
-71798.140421,250,540.140607
-3928.971273,250,544.878408
-14010.976073,250,549.656497
-17377.387177,250,554.347522
-13380.364226,250,559.045772
-32886.471741,250,563.420348
-125445.656305,250,567.779051
-42915.798655,78,569.180823
-33652.572911,250,573.497846
-11604.970062,250,577.9677
-3813.886274,250,582.408573
-659.278294,250,586.740097
-1970.632221,250,591.140704
-66273.016011,250,595.599019
-96493.415117,250,599.939668
-24310.850991,155,602.663646
-66398.829859,250,607.137696
-1518.683678,250,611.600391
-1768.431559,250,615.923295
-6027.823675,250,620.332275
-12468.40172,250,624.79276
-2165.454213,250,629.29821
-1544.569864,250,633.782288
-2836.559893,250,638.250139
-11095.466168,250,642.661588
-15581.447526,250,647.019136
179.840691,84,648.54749
-63403.011788,75,649.934175
-4952.578907,250,654.413532
-108469.997499,179,657.671592
-96185.068307,250,662.104672
-7545.533442,250,666.704118
-4357.44469,250,671.106168
-5059.227503,250,675.439031
-21497.403763,197,678.986284
-1923.612051,250,683.751362
-87460.694408,250,688.457788
-4861.528278,250,693.210499
1939.595453,84,694.855875
-12127.450624,250,699.622863
-42212.498803,250,704.35088
-7070.458353,250,709.120973
-5682.540524,137,711.748466
-62897.687867,250,716.486353
-20795.823344,250,721.260344
-13876.633023,250,726.010462
-16594.463037,250,730.840427
-84294.968238,250,735.606308
-3615.617909,250,740.351714
-388.182993,50,741.303352
-40228.244156,250,746.13484
-13035.007339,250,750.948594
-2180.006465,55,752.026243
-24218.069068,250,756.780451
-7531.33357,250,761.594712
-9898.624838,250,766.356794
-10414.897732,250,771.188364
-33955.910194,250,776.020652
-51429.980991,250,780.776532
-13664.841284,250,785.572424
-2633.441903,250,790.401172
-27500.216862,250,795.187458
-4159.071407,250,799.899304
-731.414099,250,804.360649
-31630.267148,250,808.81626
-19716.40948,250,813.326976
-12786.886992,231,817.452151
-31056.748499,250,822.143013
-1838.016642,250,826.469595
-2193.47108,107,828.328465
-2470.05753,250,832.739866
-23606.343767,250,837.104386
-62033.545392,250,841.67328
-2975.450664,250,846.189878
-2156.316828,250,850.717129
-33059.126894,250,855.064152
-21044.292815,250,859.534582
-8421.782783,250,863.964947
-3051.748061,250,868.418118
-3797.533809,250,872.878441
-48284.961954,250,877.404233
-4555.16904,250,882.067338
-1135.641591,250,886.571825
-1604.41269,250,891.019508
-645.930435,250,895.446583
-47923.414893,250,899.90325
-8426.363684,250,904.370968
-12938.503697,250,908.773842
-1283.649863,181,911.894962
-15823.463348,250,916.358673
-2482.294316,250,920.898899
1832.740443,171,924.20134
-228.709412,250,928.980712
-9073.210346,250,933.697358
-22835.990535,250,938.470992
-15795.876623,250,943.299954
-23823.921385,250,948.108375
-4723.766002,250,952.8919
-12323.318872,250,957.703034
-15590.640548,250,962.46913
-51631.411243,250,967.319707
-1704.376237,250,1115.706933
-5794.469376,250,1120.480386
-1169.436712,250,1125.294932
-8433.0228,250,1130.081021
-15043.364966,198,1133.938054
-4732.842547,250,1138.696067
1611.451431,41,1139.480756
-1312.4543,250,1144.376932
-5527.328412,250,1149.162345
-58376.705841,55,1150.235334
-53962.708289,250,1155.05006
-92683.498271,250,1159.916507
-50168.05844,72,1161.328155
-7971.48235,116,1163.622299
-84466.082291,241,1168.33704
-5799.483502,250,1173.17369
-64438.589324,250,1178.086919
-52351.890741,94,1179.923652
-42988.937813,217,1184.139062
-12395.984867,250,1189.087201
1610.48631,41,1189.898357
-38921.18918,250,1194.792965
-110732.143265,250,1199.674694
461.635435,44,1200.556413
-4823.538468,52,1201.630667
52.045429,105,1203.691549
-5303.416184,250,1208.588352
-15677.758373,250,1213.406751
-66859.366504,250,1219.292342
-8006.54261,250,1225.507262
-463.594113,250,1231.703463
-15723.507355,99,1233.992843
-9799.318039,178,1238.20151
-10408.180143,51,1239.572309
1928.233291,185,1244.344361
1598.217894,74,1246.132246
-45315.546699,250,1252.557539
-2748.499437,250,1257.845634
-2496.828537,59,1262.512264
-1173.629707,250,1267.387269
-8455.239238,250,1272.245218
-32323.465466,91,1273.889675
-5147.628999,52,1274.826147
-2659.05131,250,1279.410734
-4989.19548,250,1284.168081
